name,address,latitude,longitude,rating,user_ratings_total,place_id,types,business_status,formatted_phone_number,website,formatted_address,business_name,website_url,domain,has_ads,ads_confidence,ads_error,checked_at
"MELLON AKÜ 7/24 ACİL Akü Takviye & Değişim , Yol Yardım","Akat, Yeşim Sk. No:16, Beşiktaş",41.0797306,29.0262843,5.0,18,ChIJlbEw8Ti5yhQRgs4Uu6-zMiE,"car_repair, point_of_interest, establishment",OPERATIONAL,0546 176 32 61,http://www.akuteknik.com/,"Akat, Yeşim Sk. No:16, 34335 Beşiktaş/İstanbul, Türkiye","MELLON AKÜ 7/24 ACİL Akü Takviye & Değişim , Yol Yardım",http://www.akuteknik.com/,akuteknik.com,True,high,,2025-10-20 05:12:06
7/24 ACİL AKÜ & ACİL LASTİK & AKÜ DEĞİŞİM & YOL YARDIM & LASTİK DEĞİŞİMİ&AKÜ TAKVİYE&UTTS MONTAJ,"Küplüce, Nuri Bey Sk. No:83, Üsküdar",41.0320936,29.0583429,4.9,29,ChIJgSkqHijJyhQR0zVoZDyb9DI,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0541 691 49 61,http://www.inciaku.com/tr,"Küplüce, Nuri Bey Sk. No:83, 34674 Üsküdar/İstanbul, Türkiye",7/24 ACİL AKÜ & ACİL LASTİK & AKÜ DEĞİŞİM & YOL YARDIM & LASTİK DEĞİŞİMİ&AKÜ TAKVİYE&UTTS MONTAJ,http://www.inciaku.com/tr,inciaku.com,True,high,,2025-10-20 05:12:06
Sarıyer Akü | Eren Kardeşler Akü Market,"Sarıyer, Şht. Mithat Yılmaz Cd. No:91/2, Sarıyer",41.171334,29.053253,4.9,153,ChIJw-Kpjl_hn0ARtq1TB_YHo0U,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0542 375 34 75,https://sariyeraku.com/,"Sarıyer, Şht. Mithat Yılmaz Cd. No:91/2, 34450 Sarıyer/İstanbul, Türkiye",Sarıyer Akü | Eren Kardeşler Akü Market,https://sariyeraku.com/,sariyeraku.com,True,high,,2025-10-20 05:12:06
BURKA TICARET 7/24 AKU ELEKTRİK YOL YARDİM SERVİSİ,"İnönü, Dolapdere Cd. No:2, Şişli",41.0429259,28.9816655,4.0,21,ChIJyXq9M2m3yhQR8QL3fpXfqcE,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0553 536 58 12,,"İnönü, Dolapdere Cd. No:2, 34373 Şişli/İstanbul, Türkiye",BURKA TICARET 7/24 AKU ELEKTRİK YOL YARDİM SERVİSİ,,,False,low,No domain provided,
MUTLU AKÜ ENES OTOMOTİV,"Kazım Karabekir, Adem Yavuz Cd. 29 B, Ümraniye",41.0361256,29.10202109999999,4.7,3,ChIJGQJc8gLJyhQRSKU1HamVGPE,"car_repair, point_of_interest, establishment",OPERATIONAL,,,"Kazım Karabekir, Adem Yavuz Cd. 29 B, 34764 Ümraniye/İstanbul, Türkiye",MUTLU AKÜ ENES OTOMOTİV,,,False,low,No domain provided,
ÇAĞLAR OTOMOTİV AKÜ YOL YARDIMI ANADOLU YAKASI MOLL VARTA MUTLU AKÜ,"Yamanevler, Fatih Sultan Mehmet Sanayi Sitesi A2 Blok 22, Ümraniye",41.0258354,29.118531,5.0,81,ChIJaY8gfd7IyhQR1CT8VTAwODo,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0554 143 66 37,https://www.caglaraku.com.tr/,"Yamanevler, Fatih Sultan Mehmet Sanayi Sitesi A2 Blok 22, 34768 Ümraniye/İstanbul, Türkiye",ÇAĞLAR OTOMOTİV AKÜ YOL YARDIMI ANADOLU YAKASI MOLL VARTA MUTLU AKÜ,https://www.caglaraku.com.tr/,caglaraku.com.tr,True,high,,2025-10-20 05:12:06
BATUSAN AKÜ - ÜMRANİYE AKÜ - 7/24 ACİL AKÜ - AKÜ YOL YARDIM - AKÜCÜ - AKÜ SERVİSİ -,"Atakent, Mithatpaşa Cd. No:161A D:1, Ümraniye",41.022338,29.113236,5.0,367,ChIJlbUN9vrIyhQR5h02c6cXMxI,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0534 635 32 10,https://batusanaku.com/,"Atakent, Mithatpaşa Cd. No:161A D:1, 34307 Ümraniye/İstanbul, Türkiye",BATUSAN AKÜ - ÜMRANİYE AKÜ - 7/24 ACİL AKÜ - AKÜ YOL YARDIM - AKÜCÜ - AKÜ SERVİSİ -,https://batusanaku.com/,batusanaku.com,True,high,,2025-10-20 05:12:06
Ümraniye Akü Yol Yardım Takviye,"Yamanevler, Gümrükçüler Sanayi Sitesi E Blok No: 2, Ümraniye",41.0232641,29.1174746,5.0,11,ChIJMzSEq8qlyhQR702nJU1u5Ps,"car_repair, point_of_interest, establishment",OPERATIONAL,0537 475 38 97,,"Yamanevler, Gümrükçüler Sanayi Sitesi E Blok No: 2, 34768 Ümraniye/İstanbul, Türkiye",Ümraniye Akü Yol Yardım Takviye,,,False,low,No domain provided,
77 OTO ELEKTRİK MUTLU AKÜ BAYİİ ve YETKİLİ SERVİSİ,"MASHARBEY CAD PERÇEM SOK BÜYÜK APT. NO 1 A GÖZTEPE KADIKÖY, Kadıköy",40.9806187,29.0569474,4.8,88,ChIJo-rTMIXHyhQRDkfQ097WeO0,"car_repair, point_of_interest, establishment",OPERATIONAL,0532 261 80 18,,"MASHARBEY CAD PERÇEM SOK BÜYÜK APT. NO 1 A GÖZTEPE KADIKÖY, Göztepe, 34730 Kadıköy/İstanbul, Türkiye",77 OTO ELEKTRİK MUTLU AKÜ BAYİİ ve YETKİLİ SERVİSİ,,,False,low,No domain provided,
Küçükçekmece Mobil Akücü - 7/24 Akü Yol Yardım & Takviye | Paşaoğlu Akü,"Meydan Halkalı Residance, Halkalı Merkez, 1. İkitelli Cad. A Blok, Küçükçekmece",41.0361921,28.7893357,5.0,48,ChIJx8NZ7kGlyhQR9FrmlKtLwyQ,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0540 226 23 23,https://www.pasaogluaku.com/kucukcekmece-akucu,"Meydan Halkalı Residance, Halkalı Merkez, 1. İkitelli Cad. A Blok, 34307 Küçükçekmece/İstanbul, Türkiye",Küçükçekmece Mobil Akücü - 7/24 Akü Yol Yardım & Takviye | Paşaoğlu Akü,https://www.pasaogluaku.com/kucukcekmece-akucu,pasaogluaku.com,True,high,,2025-10-20 05:12:07
DEMİR AKÜ MARKET,"Tevfikbey Mahallesi ,Muammer Aksoy Caddesi, no:8/B Küçükçekmece /Sefaköy, Küçükçekmece",41.008489,28.8000452,5.0,151,ChIJcywpqbOlyhQRGPrSmZGx5FA,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0530 597 87 13,,"Tevfikbey Mahallesi ,Muammer Aksoy Caddesi, no:8/B Küçükçekmece /Sefaköy, Tevfik Bey, 34365 Küçükçekmece/İstanbul, Türkiye",DEMİR AKÜ MARKET,,,False,low,No domain provided,
Krt otomotiv akücü,"Güneşli, 15 Temmuz, Bahar Cd. :89 1AE, Bağcılar",41.0313779,28.8119208,4.9,78,ChIJxR3VuOOlyhQRjcgnk7N0Aio,"car_repair, store, point_of_interest, establishment",OPERATIONAL,(0212) 706 46 15,,"Güneşli, 15 Temmuz, Bahar Cd. :89 1AE, 34212 Bağcılar/İstanbul, Türkiye",Krt otomotiv akücü,,,False,low,No domain provided,
HCS AKÜ MARKET - 7/24 AKÜ SERVİSİ,"Yenibosna Merkez, Atatürk Cd. No:43 D:C, Bahçelievler",41.0146328,28.8347526,5.0,36,ChIJ9YF8NFulyhQRx8qBjqSYQZI,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0531 560 67 55,https://www.yolyardimaku.com.tr/,"Yenibosna Merkez, Atatürk Cd. No:43 D:C, 34000 Bahçelievler/İstanbul, Türkiye",HCS AKÜ MARKET - 7/24 AKÜ SERVİSİ,https://www.yolyardimaku.com.tr/,yolyardimaku.com.tr,True,high,,2025-10-20 05:12:07
BRC AKÜ MARKET Klima Gaz Dolumu,"Mahmutbey, İnönü Cd. No:43, Bağcılar",41.0493953,28.83020149999999,4.7,203,ChIJf0JmWhSlyhQRKBrvzWr5ayU,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0531 290 37 57,https://brcaku.com/,"Mahmutbey, İnönü Cd. No:43, 34203 Bağcılar/İstanbul, Türkiye",BRC AKÜ MARKET Klima Gaz Dolumu,https://brcaku.com/,brcaku.com,True,high,,2025-10-20 05:12:07
7/24 Yol Yardım Oto Elektrik Akü Ve Lastikçi,"Barbaros, 202. Sk 23/A, Bağcılar",41.0220502,28.840196,4.8,165,ChIJ8eOiZiulyhQRchUqu7L1Eb4,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0532 437 94 90,https://7-24yolyardimi.com/,"Barbaros, 202. Sk 23/A, 34200 Bağcılar/İstanbul, Türkiye",7/24 Yol Yardım Oto Elektrik Akü Ve Lastikçi,https://7-24yolyardimi.com/,7-24yolyardimi.com,False,low,,2025-10-20 05:12:07
Yilmaz Akü Market,"Mahmutbey, İnönü Cd. No:57, Bağcılar",41.052463,28.8299421,3.0,4,ChIJTVLjXBOlyhQRKuDYT_QWL5w,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0551 194 67 41,https://yilmazaku.com/,"Mahmutbey, İnönü Cd. No:57, 34218 Bağcılar/İstanbul, Türkiye",Yilmaz Akü Market,https://yilmazaku.com/,yilmazaku.com,True,high,,2025-10-20 05:12:07
Mobil Akücü Mrt Akü Market,"Kocasinan Merkez, Gökdere Sk. No:12 D:5, Bahçelievler",41.0155808,28.8427397,4.8,18,ChIJN73web6lyhQR8p6KvYmx6Jc,"car_repair, store, point_of_interest, establishment",OPERATIONAL,(0212) 706 47 65,,"Kocasinan Merkez, Gökdere Sk. No:12 D:5, 34186 Bahçelievler/İstanbul, Türkiye",Mobil Akücü Mrt Akü Market,,,False,low,No domain provided,
Akü istoç inci akü mutlu akü yigit akü ucuz akü acil akü,"Bagcılar istoç oto market o5 blok no 131, Bağcılar",41.0663527,28.83637779999999,5.0,6,ChIJE6Iu7dalyhQRVQ4TrqiTHGI,"car_repair, store, point_of_interest, establishment",OPERATIONAL,0538 601 38 48,,"Bagcılar istoç oto market o5 blok no 131, Göztepe, 34500 Bağcılar/İstanbul, Türkiye",Akü istoç inci akü mutlu akü yigit akü ucuz akü acil akü,,,False,low,No domain provided,
AUS OTOMOTİV LASTİK JANT AKÜ,"Ziya Gökalp, Hürriyet Bulvari Hayatpark rezidans NO:93/D, Başakşehir",41.0847236,28.784595,5.0,16,ChIJhbcvTNWvyhQR7ETRTcSFjmk,"car_repair, point_of_interest, establishment",OPERATIONAL,0507 557 57 61,,"Ziya Gökalp, Hürriyet Bulvari Hayatpark rezidans NO:93/D, 34490 Başakşehir/İstanbul, Türkiye",AUS OTOMOTİV LASTİK JANT AKÜ,,,False,low,No domain provided,
