place_id,name,address,latitude,longitude,rating,user_ratings_total,business_status,types,formatted_phone_number,website,has_ads,ads_confidence,search_query,level1_result,level1_confidence,level1_reason,level2_result,level2_confidence,level2_reason,level3_result,level3_confidence,level3_reason,total_score,final_confidence,final_has_ads
ChIJm2AG3hy3yhQRUOos0Js3aFk,Kuzgun Antik,"10, Merkez, Reha Yurdakul Sk., 34381 Şişli/İstanbul, Türkiye",41.06371559999999,28.986374,5.0,8,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",0531 305 80 94,,False,low,antique shop,False,low,Low rating or few reviews,False,low,Website not accessible,False,low,No ads indicators found in search results,0,low,False
ChIJXbWPaee5yhQR1yayHZ_C1Lo,El Dorado Galata Interior Design & Vintage Store,"Şahkulu, Serdar-ı Ekrem Cd. No: 9, 34420 Beyoğlu/İstanbul, Türkiye",41.026612,28.975132,4.7,43,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",0555 072 55 00,http://www.eldoradogalata.com/,True,medium,antique shop,True,medium,Good rating (3.5+) and decent reviews (20+),False,low,No Google Ads codes found,False,low,No ads indicators found in search results,1,medium,True
ChIJ-RA1pfe7yhQRgKIGpcFeHdo,Kafka Antik,"Ayvansaray Mh, Balat, Hızır Çavuş Köprübaşı Sk. No:80, 34087 Fatih/İstanbul, Türkiye",41.0331038,28.9467252,4.5,13,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",0532 351 39 89,,True,low,antique shop,True,low,Average rating (3.0+) and some reviews (10+),False,low,Website not accessible,False,low,No ads indicators found in search results,1,medium,True
ChIJN9yE2Wm3yhQRH5EHUKdSeTE,Yaz Vintage,"Yaz Vintage, H. Edip Adıvar, Halide Edip Adıvar Cd. No:72, 34382 Şişli/İstanbul, Türkiye",41.059945,28.9737688,4.8,23,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",0535 333 10 81,https://shopier.com/yazsanat,True,medium,antique shop,True,medium,Good rating (3.5+) and decent reviews (20+),True,medium,"Found Google Ads codes: googletagmanager, gtag",False,low,No ads indicators found in search results,2,high,True
ChIJHyWtC3-3yhQRfMkx9D_G2ZU,Bozbey Antique,"Kuloğlu, Faik Paşa Cd. No:25/A, 34421 Beyoğlu/İstanbul, Türkiye",41.0325513,28.9809665,4.6,16,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",0534 641 10 10,,True,low,antique shop,True,low,Average rating (3.0+) and some reviews (10+),False,low,Website not accessible,False,low,No ads indicators found in search results,1,medium,True
ChIJoZEZdN25yhQRdmZq9-Cv75c,Oldie's Goldie's,"Karaköy Mah, Serçe Sk. No:6, 34425 Beyoğlu/İstanbul, Türkiye",41.02456470000001,28.9772813,5.0,19,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",(0212) 243 00 07,,True,low,antique shop,True,low,Average rating (3.0+) and some reviews (10+),False,low,Website not accessible,False,low,No ads indicators found in search results,1,medium,True
ChIJGXDdBCy7yhQRxejK4e2_DC4,Sayah home,"Akşemsettin, Hırka-i Şerif Cd. no 4, 34080 Fatih/İstanbul, Türkiye",41.021284,28.945315,5.0,8,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",(0212) 524 81 35,,False,low,antique shop,False,low,Low rating or few reviews,False,low,Website not accessible,False,low,No ads indicators found in search results,0,low,False
ChIJixS1it25yhQRlDcNEkpV5oE,Galata Antiques,"Müeyyetzade, Ali Hoca Ar. No:4, 34425 Beyoğlu/İstanbul, Türkiye",41.0262367,28.9762365,5.0,2,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",0533 460 14 19,,False,low,antique shop,False,low,Low rating or few reviews,False,low,Website not accessible,False,low,No ads indicators found in search results,0,low,False
ChIJr2eJQeu5yhQRyPu-9k9qaLU,OZER Jewelry & Antiques,"Rüstem Paşa Mahallesi, Mısır Çarşısı No :82, Rüstem Paşa, 34116 Fatih/İstanbul, Türkiye",41.0158801,28.9714384,4.3,44,OPERATIONAL,"establishment, home_goods_store, jewelry_store, point_of_interest, store",0538 482 50 50,,True,medium,antique shop,True,medium,Good rating (3.5+) and decent reviews (20+),False,low,Website not accessible,False,low,No ads indicators found in search results,1,medium,True
ChIJwQ4LDr25yhQR0s7Ix5MAez4,Capadocıa,"Sultan Ahmet, Kabasakal Cd. Arasta Bazaar D:26, 34122 Fatih/İstanbul, Türkiye",41.0055514,28.9779863,4.6,148,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",0532 322 21 74,,True,high,antique shop,True,high,High rating (4.0+) and many reviews (50+),False,low,Website not accessible,False,low,No ads indicators found in search results,1,medium,True
